run,dataset,metric,step,pointmap_loss
dtok32,KITTI,AR,21356,0.423822
dtok32,KITTI,AR,21918,0.390798
dtok32,KITTI,AR,22480,0.404837
dtok32,KITTI,AR,23042,0.383406
dtok32,KITTI,AR,23604,0.381297
dtok32,KITTI,AR,24166,0.392967
dtok32,KITTI,AR,24728,0.394532
dtok32,KITTI,AR,25290,0.410110
dtok32,KITTI,AR,25852,0.398217
dtok32,KITTI,AR,26414,0.375272
dtok32,KITTI,AR,26976,0.423863
dtok32,KITTI,AR,27538,0.382377
dtok32,KITTI,AR,28100,0.367365
dtok32,KITTI,AR,28662,0.403372
dtok32,KITTI,AR,29224,0.377639
dtok32,KITTI,AR,29786,0.400093
dtok32,KITTI,AR,30348,0.378392
dtok32,KITTI,AR,30910,0.398703
dtok32,KITTI,AR,31472,0.387112
dtok32,KITTI,AR,32034,0.360415
dtok32,KITTI,AR,32596,0.379151
dtok32,KITTI,AR,33158,0.403094
dtok32,KITTI,AR,33720,0.376572
dtok32,KITTI,AR,34282,0.408571
dtok32,KITTI,AR,34844,0.377788
dtok32,KITTI,AR,35406,0.358171
dtok32,KITTI,AR,35968,0.369979
dtok32,KITTI,AR,36530,0.385785
dtok32,KITTI,AR,37092,0.405338
dtok32,KITTI,AR,37654,0.375807
dtok32,KITTI,AR,38216,0.368132
dtok32,KITTI,AR,38778,0.359447
dtok32,KITTI,AR,39340,0.363141
dtok32,KITTI,AR,39902,0.387429
dtok32,KITTI,AR,40464,0.353484
dtok32,KITTI,AR,41026,0.357656
dtok32,KITTI,AR,41588,0.373546
dtok32,KITTI,AR,42150,0.377471
dtok32,KITTI,AR,42712,0.361964
dtok32,KITTI,AR,43274,0.363501
dtok32,KITTI,AR,43836,0.357088
dtok32,KITTI,AR,44398,0.356570
dtok32,KITTI,AR,44960,0.349875
dtok32,KITTI,AR,45522,0.332097
dtok32,KITTI,AR,46084,0.330309
dtok32,KITTI,AR,46646,0.346442
dtok32,KITTI,AR,47208,0.365722
dtok32,KITTI,AR,47770,0.345918
dtok32,KITTI,AR,48332,0.363788
dtok32,KITTI,AR,48894,0.357581
dtok32,KITTI,AR,49456,0.340449
dtok32,KITTI,AR,50018,0.365500
dtok32,KITTI,AR,50580,nan
dtok32,KITTI,AR,51142,nan
dtok32,KITTI,AR,51704,nan
dtok32,KITTI,AR,52266,nan
dtok32,KITTI,AR,52828,nan
dtok32,KITTI,AR,53390,nan
dtok32,KITTI,AR,53952,nan
dtok32,KITTI,AR,54514,nan
dtok32,KITTI,AR,55076,nan
dtok32,KITTI,AR,55638,nan
dtok32,KITTI,AR,56200,nan
dtok32,KITTI,AR,56762,nan
dtok32,nuScenes,single,562,4.138268
dtok32,nuScenes,single,1124,3.657519
dtok32,nuScenes,single,1686,4.122614
dtok32,nuScenes,single,2248,3.715839
dtok32,nuScenes,single,2810,2.752573
dtok32,nuScenes,single,3372,1.964431
dtok32,nuScenes,single,3934,1.164999
dtok32,nuScenes,single,4496,0.897061
dtok32,nuScenes,single,5058,0.623253
dtok32,nuScenes,single,5620,0.714827
dtok32,nuScenes,single,6182,0.581385
dtok32,nuScenes,single,6744,0.551176
dtok32,nuScenes,single,7306,0.473083
dtok32,nuScenes,single,7868,0.504574
dtok32,nuScenes,single,8430,0.491476
dtok32,nuScenes,single,8992,0.449561
dtok32,nuScenes,single,9554,0.491560
dtok32,nuScenes,single,10116,0.454783
dtok32,nuScenes,single,10678,0.435790
dtok32,nuScenes,single,11240,0.449770
dtok32,nuScenes,single,11802,0.425987
dtok32,nuScenes,single,12364,0.464715
dtok32,nuScenes,single,12926,0.438081
dtok32,nuScenes,single,13488,0.437812
dtok32,nuScenes,single,14050,0.386100
dtok32,nuScenes,single,14612,0.398782
dtok32,nuScenes,single,15174,0.419462
dtok32,nuScenes,single,15736,0.422950
dtok32,nuScenes,single,16298,0.430660
dtok32,nuScenes,single,16860,0.457182
dtok32,nuScenes,single,17422,0.416892
dtok32,nuScenes,single,17984,0.426825
dtok32,nuScenes,single,18546,0.379850
dtok32,nuScenes,single,19108,0.394677
dtok32,nuScenes,single,19670,0.421523
dtok32,nuScenes,single,20232,0.407834
dtok32,nuScenes,single,20794,0.394601
dtok32,nuScenes,single,21356,0.368728
dtok32,nuScenes,single,21918,0.390326
dtok32,nuScenes,single,22480,0.377078
dtok32,nuScenes,single,23042,0.375026
dtok32,nuScenes,single,23604,0.370646
dtok32,nuScenes,single,24166,0.368250
dtok32,nuScenes,single,24728,0.365656
dtok32,nuScenes,single,25290,0.415075
dtok32,nuScenes,single,25852,0.388571
dtok32,nuScenes,single,26414,0.363117
dtok32,nuScenes,single,26976,0.462290
dtok32,nuScenes,single,27538,0.390933
dtok32,nuScenes,single,28100,0.378609
dtok32,nuScenes,single,28662,0.374012
dtok32,nuScenes,single,29224,0.375002
dtok32,nuScenes,single,29786,0.395670
dtok32,nuScenes,single,30348,0.383486
dtok32,nuScenes,single,30910,0.402331
dtok32,nuScenes,single,31472,0.389304
dtok32,nuScenes,single,32034,0.359305
dtok32,nuScenes,single,32596,0.384928
dtok32,nuScenes,single,33158,0.378271
dtok32,nuScenes,single,33720,0.376761
dtok32,nuScenes,single,34282,0.377285
dtok32,nuScenes,single,34844,0.376556
dtok32,nuScenes,single,35406,0.362664
dtok32,nuScenes,single,35968,0.364930
dtok32,nuScenes,single,36530,0.399151
dtok32,nuScenes,single,37092,0.350210
dtok32,nuScenes,single,37654,0.386442
dtok32,nuScenes,single,38216,0.393821
dtok32,nuScenes,single,38778,0.366761
dtok32,nuScenes,single,39340,0.365286
dtok32,nuScenes,single,39902,0.377357
dtok32,nuScenes,single,40464,0.373880
dtok32,nuScenes,single,41026,0.360962
dtok32,nuScenes,single,41588,0.359489
dtok32,nuScenes,single,42150,0.367836
dtok32,nuScenes,single,42712,0.378804
dtok32,nuScenes,single,43274,0.359388
dtok32,nuScenes,single,43836,0.371020
dtok32,nuScenes,single,44398,0.353114
dtok32,nuScenes,single,44960,0.364097
dtok32,nuScenes,single,45522,0.359343
dtok32,nuScenes,single,46084,0.352596
dtok32,nuScenes,single,46646,0.376870
dtok32,nuScenes,single,47208,0.347814
dtok32,nuScenes,single,47770,0.358975
dtok32,nuScenes,single,48332,0.347986
dtok32,nuScenes,single,48894,0.357701
dtok32,nuScenes,single,49456,0.351669
dtok32,nuScenes,single,50018,0.338165
dtok32,nuScenes,single,50580,nan
dtok32,nuScenes,single,51142,nan
dtok32,nuScenes,single,51704,nan
dtok32,nuScenes,single,52266,nan
dtok32,nuScenes,single,52828,nan
dtok32,nuScenes,single,53390,nan
dtok32,nuScenes,single,53952,nan
dtok32,nuScenes,single,54514,nan
dtok32,nuScenes,single,55076,nan
dtok32,nuScenes,single,55638,nan
dtok32,nuScenes,single,56200,nan
dtok32,nuScenes,single,56762,nan
dtok32,nuScenes,AR,562,9.556543
dtok32,nuScenes,AR,1124,8.050537
dtok32,nuScenes,AR,1686,8.109568
dtok32,nuScenes,AR,2248,4.861540
dtok32,nuScenes,AR,2810,3.088599
dtok32,nuScenes,AR,3372,2.098816
dtok32,nuScenes,AR,3934,1.222995
dtok32,nuScenes,AR,4496,0.954722
dtok32,nuScenes,AR,5058,0.632736
dtok32,nuScenes,AR,5620,0.740707
dtok32,nuScenes,AR,6182,0.607301
dtok32,nuScenes,AR,6744,0.557606
dtok32,nuScenes,AR,7306,0.483928
dtok32,nuScenes,AR,7868,0.512120
dtok32,nuScenes,AR,8430,0.497616
dtok32,nuScenes,AR,8992,0.457135
dtok32,nuScenes,AR,9554,0.497222
dtok32,nuScenes,AR,10116,0.466622
dtok32,nuScenes,AR,10678,0.441491
dtok32,nuScenes,AR,11240,0.454744
dtok32,nuScenes,AR,11802,0.422195
dtok32,nuScenes,AR,12364,0.473399
dtok32,nuScenes,AR,12926,0.447148
dtok32,nuScenes,AR,13488,0.449357
dtok32,nuScenes,AR,14050,0.389452
dtok32,nuScenes,AR,14612,0.403515
dtok32,nuScenes,AR,15174,0.428514
dtok32,nuScenes,AR,15736,0.438705
dtok32,nuScenes,AR,16298,0.437443
dtok32,nuScenes,AR,16860,0.471538
dtok32,nuScenes,AR,17422,0.427729
dtok32,nuScenes,AR,17984,0.429765
dtok32,nuScenes,AR,18546,0.388235
dtok32,nuScenes,AR,19108,0.402315
dtok32,nuScenes,AR,19670,0.433093
dtok32,nuScenes,AR,20232,0.415662
dtok32,nuScenes,AR,20794,0.405075
dtok32,nuScenes,AR,21356,0.378509
dtok32,nuScenes,AR,21918,0.393397
dtok32,nuScenes,AR,22480,0.385151
